workforcehub-backend  | 172.18.0.3:44086 - - [06/Apr/2026:13:16:48] "GET /api/dashboard/summary/" 200 1495
workforcehub-backend  | 172.18.0.3:44096 - - [06/Apr/2026:13:16:48] "GET /api/dashboard/summary/" 200 1495
workforcehub-backend  | 172.18.0.3:44122 - - [06/Apr/2026:13:16:48] "GET /api/dashboard/summary/" 200 1495
workforcehub-backend  | 172.18.0.3:44112 - - [06/Apr/2026:13:16:48] "GET /api/dashboard/summary/" 200 1495
workforcehub-backend  | 172.18.0.3:44124 - - [06/Apr/2026:13:16:48] "GET /api/dashboard/summary/" 200 1495
workforcehub-backend  | 172.18.0.3:44130 - - [06/Apr/2026:13:16:48] "GET /api/dashboard/summary/" 200 1495
workforcehub-backend  | 172.18.0.3:44146 - - [06/Apr/2026:13:16:48] "GET /api/dashboard/summary/" 200 1495
workforcehub-backend  | 172.18.0.3:44152 - - [06/Apr/2026:13:16:48] "GET /api/dashboard/summary/" 200 1495
workforcehub-backend  | 172.18.0.3:44156 - - [06/Apr/2026:13:16:48] "GET /api/dashboard/summary/" 200 1495
workforcehub-backend  | 172.18.0.3:44158 - - [06/Apr/2026:13:16:48] "GET /api/dashboard/summary/" 200 1495
workforcehub-backend  | 172.18.0.3:44186 - - [06/Apr/2026:13:16:48] "GET /api/dashboard/summary/" 200 1495
workforcehub-backend  | 172.18.0.3:44160 - - [06/Apr/2026:13:16:48] "GET /api/dashboard/summary/" 200 1495
workforcehub-backend  | 172.18.0.3:44170 - - [06/Apr/2026:13:16:49] "GET /api/dashboard/summary/" 200 1495
workforcehub-backend  | 172.18.0.3:44202 - - [06/Apr/2026:13:16:49] "GET /api/dashboard/summary/" 200 1495
workforcehub-backend  | 172.18.0.3:44218 - - [06/Apr/2026:13:16:49] "GET /api/dashboard/summary/" 200 1495
workforcehub-backend  | 172.18.0.3:44222 - - [06/Apr/2026:13:16:49] "GET /api/dashboard/summary/" 200 1495
workforcehub-backend  | 172.18.0.3:44236 - - [06/Apr/2026:13:16:49] "GET /api/dashboard/summary/" 200 1495
workforcehub-backend  | 172.18.0.3:44244 - - [06/Apr/2026:13:16:49] "GET /api/dashboard/summary/" 200 1495
workforcehub-backend  | 172.18.0.3:44266 - - [06/Apr/2026:13:16:49] "GET /api/dashboard/summary/" 200 1495
workforcehub-backend  | 172.18.0.3:44256 - - [06/Apr/2026:13:16:49] "GET /api/dashboard/summary/" 200 1495
workforcehub-backend  | 172.18.0.3:44268 - - [06/Apr/2026:13:16:49] "GET /api/dashboard/summary/" 200 1495
workforcehub-backend  | 172.18.0.3:44272 - - [06/Apr/2026:13:16:49] "GET /api/dashboard/summary/" 200 1495
workforcehub-backend  | 172.18.0.3:44284 - - [06/Apr/2026:13:16:49] "GET /api/dashboard/summary/" 200 1495
workforcehub-backend  | 172.18.0.3:44298 - - [06/Apr/2026:13:16:49] "GET /api/dashboard/summary/" 200 1495
workforcehub-backend  | 172.18.0.3:44302 - - [06/Apr/2026:13:16:49] "GET /api/dashboard/summary/" 200 1495
workforcehub-backend  | 172.18.0.3:44318 - - [06/Apr/2026:13:16:49] "GET /api/dashboard/summary/" 200 1495
workforcehub-backend  | 172.18.0.3:44332 - - [06/Apr/2026:13:16:49] "GET /api/dashboard/summary/" 200 1495
workforcehub-backend  | 172.18.0.3:44322 - - [06/Apr/2026:13:16:49] "GET /api/dashboard/summary/" 200 1495
workforcehub-backend  | 172.18.0.3:44338 - - [06/Apr/2026:13:16:50] "GET /api/dashboard/summary/" 200 1495
workforcehub-backend  | 172.18.0.3:44346 - - [06/Apr/2026:13:16:50] "GET /api/dashboard/summary/" 200 1495
workforcehub-backend  | 172.18.0.3:44362 - - [06/Apr/2026:13:16:50] "GET /api/dashboard/summary/" 200 1495
workforcehub-backend  | 172.18.0.3:44348 - - [06/Apr/2026:13:16:50] "GET /api/dashboard/summary/" 200 1495
workforcehub-backend  | 172.18.0.3:44372 - - [06/Apr/2026:13:16:50] "GET /api/dashboard/summary/" 200 1495
workforcehub-backend  | 172.18.0.3:44364 - - [06/Apr/2026:13:16:50] "GET /api/dashboard/summary/" 200 1495
workforcehub-backend  | 172.18.0.3:44380 - - [06/Apr/2026:13:16:50] "GET /api/dashboard/summary/" 200 1495
workforcehub-backend  | 172.18.0.3:44384 - - [06/Apr/2026:13:16:50] "GET /api/dashboard/summary/" 200 1495
workforcehub-backend  | 172.18.0.3:44398 - - [06/Apr/2026:13:16:50] "GET /api/dashboard/summary/" 200 1495
workforcehub-backend  | 172.18.0.3:44400 - - [06/Apr/2026:13:16:50] "GET /api/dashboard/summary/" 200 1495
workforcehub-backend  | 172.18.0.3:44422 - - [06/Apr/2026:13:16:50] "GET /api/dashboard/summary/" 200 1495
workforcehub-backend  | 172.18.0.3:44406 - - [06/Apr/2026:13:16:50] "GET /api/dashboard/summary/" 200 1495
